lab.tree;lab.fruit_label;fruit_id;lab.depth_mm;lab.o_caliber_mm;lab.o_height_mm;lab.axis_01_mm;lab.axis_02_mm;lab.weight_gr;lab.observations;lab.occluded
2;119;2119;0.0;70.62;72.3;72.3;70.62;183.2;;YES
2;120;2120;0.0;77.76;76.45;77.76;76.45;231.9;;YES
2;122;2122;0.0;68.37;63.11;68.37;63.11;141.6;;YES
2;125;2125;0.0;82.78;83.49;83.49;82.78;269.9;;YES
2;132;2132;0.0;72.84;70.09;72.84;70.09;172.9;;YES
2;133;2133;0.0;64.28;57.2;64.28;57.2;109.7;;YES
2;134;2134;0.0;76.23;76.59;76.59;76.23;214.8;;YES
2;163;2163;0.0;74.11;75.23;75.23;74.11;200.1;;YES
2;164;2164;0.0;75.31;70.26;75.31;70.26;191.6;;YES
2;168;2168;0.0;58.19;49.83;58.19;49.83;81.6;;YES
2;171;2171;0.0;64.43;54.57;64.43;54.57;102.3;;YES
2;174;2174;0.0;75.55;78.27;78.27;75.55;207.1;;YES
1;BALL_060;BALL_060;1446.0;60.0;60.0;60.0;60.0;108.0;;NO
1;BALL_120;BALL_120;1427.0;120.0;120.0;120.0;120.0;409.0;;NO
3;203;3203;0.0;75.87;78.31;78.31;75.87;270.1;;YES
1;46;1046;0.0;74.62;65.54;74.62;65.54;164.3;;YES
1;50;1050;0.0;74.21;72.98;74.21;72.98;202.9;;YES
1;71;1071;0.0;74.75;74.06;74.75;74.06;198.3;;YES
2;151;2151;0.0;62.13;59.12;62.13;59.12;110.5;;YES
